	AreaShape_Center_X	AreaShape_Center_Y	ImageNumber	Intensity_MaxIntensityEdge_Costum	Intensity_UpperQuartileIntensity_Costum	AreaShape_Center_X_Orig	AreaShape_Center_Y_Orig	AreaShape_Center_Y_NoLocalAdjustment	AreaShape_Center_X_NoLocalAdjustment	ClosestHandENuclei	ClosestIPOXNuclei	N_Neighbors_1E-3
1509424	0.16324	0.81875	0.00000	0.65639	0.64728	3831.00000	15198.00000	0.81875	0.16324	0.00681	0.00034	4.00000	
1509425	0.16871	0.81864	0.00000	0.77267	0.75764	3919.00000	15196.00000	0.81864	0.16871	0.00893	0.00532	6.00000	
1509426	0.17032	0.81869	0.00000	0.57555	0.57555	3945.00000	15197.00000	0.81869	0.17032	0.00553	0.00167	10.00000	
1509427	0.18101	0.81887	0.00000	0.61971	0.61971	4117.00000	15200.00000	0.81887	0.18101	0.00789	0.00264	4.00000	
1509428	0.18591	0.81887	0.00000	0.61782	0.59797	4196.00000	15200.00000	0.81887	0.18591	0.00727	0.00653	6.00000	
1509429	0.19281	0.81887	0.00000	0.43738	0.43738	4307.00000	15200.00000	0.81887	0.19281	0.00751	0.01312	10.00000	
1509591	0.15181	0.81893	0.00000	0.44393	0.44393	3647.00000	15201.00000	0.81893	0.15181	0.00681	0.00342	6.00000	
1509592	0.15268	0.81887	0.00000	0.64848	0.63278	3661.00000	15200.00000	0.81887	0.15268	0.00829	0.00197	6.00000	
1509593	0.15554	0.81899	0.00000	0.56310	0.56310	3707.00000	15202.00000	0.81899	0.15554	0.00525	0.00180	6.00000	
1509594	0.16293	0.81899	0.00000	0.67584	0.66745	3826.00000	15202.00000	0.81899	0.16293	0.00681	0.00492	5.00000	
1509595	0.16535	0.81887	0.00000	0.81709	0.77723	3865.00000	15200.00000	0.81887	0.16535	0.00557	0.00258	10.00000	
1509596	0.16529	0.81934	0.00000	0.96266	0.93039	3864.00000	15208.00000	0.81934	0.16529	0.00581	0.00231	9.00000	
1509597	0.16920	0.81887	0.00000	0.41442	0.41442	3927.00000	15200.00000	0.81887	0.16920	0.00721	0.00313	9.00000	
1509598	0.17063	0.81864	0.00000	0.64701	0.64701	3950.00000	15196.00000	0.81864	0.17063	0.00553	0.00396	10.00000	
1509599	0.17113	0.81875	0.00000	0.66634	0.66634	3958.00000	15198.00000	0.81875	0.17113	0.00768	0.00380	8.00000	
1509600	0.18448	0.81887	0.00000	0.56043	0.56043	4173.00000	15200.00000	0.81887	0.18448	0.00918	0.00387	6.00000	
1509601	0.18697	0.81887	0.00000	0.60447	0.60447	4213.00000	15200.00000	0.81887	0.18697	0.00653	0.00150	5.00000	
1509602	0.19188	0.81887	0.00000	0.71834	0.74158	4292.00000	15200.00000	0.81887	0.19188	0.00533	0.01581	12.00000	
